,Date,Team,Homeoraway,TeamWinPred,TeamScorePred,TeamOdds,TeamScore,Opponent,OpponentWinPred,OpponentScorePred,OpponentOdds,OpponentScore,GameTotal,Result,BetWinResult,Favourite,ScoredfromPred,ReceivedfromPred
456,2021.01.23,Dallas Mavericks,Home,66%,111,1.34,108,Houston Rockets,34%,105,3.44,133,241,Lose,-1,Favourite,-3,28
457,2021.01.23,Chicago Bulls,Home,21%,109,4.91,90,Los Angeles Lakers,79%,120,1.2,101,191,Lose,-1,NotFav,-19,-19
458,2021.01.23,Brooklyn Nets,Home,64%,118,1.31,128,Miami Heat,36%,113,3.66,124,252,Win,0.31,Favourite,10,11
459,2021.01.23,Minnesota Timberwolves,Home,33%,109,4.01,120,New Orleans Pelicans,67%,115,1.27,110,230,Win,3.01,NotFav,11,-5
460,2021.01.23,Detroit Pistons,Home,42%,109,3.91,110,Philadelphia 76ers,58%,112,1.28,114,224,Lose,-1,NotFav,1,2
461,2021.01.24,Atlanta Hawks,Away,32%,111,6.71,115,Milwaukee Bucks,68%,118,1.13,129,244,Lose,-1,NotFav,4,11
462,2021.01.24,Charlotte Hornets,Away,59%,108,1.78,107,Orlando Magic,41%,104,2.1,104,211,Win,0.78,Favourite,-1,0
463,2021.01.24,Cleveland Cavaliers,Away,32%,103,3.05,103,Boston Celtics,68%,109,1.41,141,244,Lose,-1,NotFav,0,32
464,2021.01.24,New York Knicks,Away,42%,105,2.47,113,Portland Trail Blazers,58%,108,1.59,116,229,Lose,-1,NotFav,8,8
465,2021.01.24,Oklahoma City Thunder,Away,19%,104,7.62,100,Los Angeles Clippers,81%,115,1.1,108,208,Lose,-1,NotFav,-4,-7
466,2021.01.24,Toronto Raptors,Away,49%,111,2.58,107,Indiana Pacers,51%,112,1.55,102,209,Win,1.58,NotFav,-4,-10
467,2021.01.24,Washington Wizards,Away,41%,116,2.96,101,San Antonio Spurs,59%,120,1.43,121,222,Lose,-1,NotFav,-15,1
468,2021.01.24,Milwaukee Bucks,Home,68%,118,1.13,129,Atlanta Hawks,32%,111,6.71,115,244,Win,0.13,Favourite,11,4
469,2021.01.24,Orlando Magic,Home,41%,104,2.1,104,Charlotte Hornets,59%,108,1.78,107,211,Lose,-1,NotFav,0,-1
470,2021.01.24,Boston Celtics,Home,68%,109,1.41,141,Cleveland Cavaliers,32%,103,3.05,103,244,Win,0.41,Favourite,32,0
471,2021.01.24,Portland Trail Blazers,Home,58%,108,1.59,116,New York Knicks,42%,105,2.47,113,229,Win,0.59,Favourite,8,8
472,2021.01.24,Los Angeles Clippers,Home,81%,115,1.1,108,Oklahoma City Thunder,19%,104,7.62,100,208,Win,0.1,Favourite,-7,-4
473,2021.01.24,Indiana Pacers,Home,51%,112,1.55,102,Toronto Raptors,49%,111,2.58,107,209,Lose,-1,Favourite,-10,-4
474,2021.01.24,San Antonio Spurs,Home,59%,120,1.43,121,Washington Wizards,41%,116,2.96,101,222,Win,0.43,Favourite,1,-15
475,2021.01.25,Boston Celtics,Away,55%,116,1.59,119,Chicago Bulls,45%,113,2.45,103,222,Win,0.59,Favourite,3,-10
476,2021.01.25,Charlotte Hornets,Away,59%,108,1.98,108,Orlando Magic,41%,104,1.88,117,225,Lose,-1,NotFav,0,13
477,2021.01.25,Denver Nuggets,Away,56%,115,1.75,117,Dallas Mavericks,44%,112,2.15,113,230,Win,0.75,Favourite,2,1
478,2021.01.25,Los Angeles Lakers,Away,80%,110,1.13,115,Cleveland Cavaliers,20%,99,6.61,108,223,Win,0.13,Favourite,5,9
479,2021.01.25,Miami Heat,Away,38%,115,3.62,85,Brooklyn Nets,62%,120,1.31,98,183,Lose,-1,NotFav,-30,-22
480,2021.01.25,Minnesota Timberwolves,Away,32%,109,4.11,108,Golden State Warriors,68%,116,1.26,130,238,Lose,-1,NotFav,-1,14
481,2021.01.25,Oklahoma City Thunder,Away,37%,111,2.7,125,Portland Trail Blazers,63%,116,1.5,122,247,Win,1.7,NotFav,14,6
482,2021.01.25,Philadelphia 76ers,Away,64%,114,1.49,104,Detroit Pistons,36%,108,2.73,119,223,Lose,-1,Favourite,-10,11
483,2021.01.25,Toronto Raptors,Away,49%,111,2.14,114,Indiana Pacers,51%,112,1.75,129,243,Lose,-1,NotFav,3,17
484,2021.01.25,Chicago Bulls,Home,45%,113,2.45,103,Boston Celtics,55%,116,1.59,119,222,Lose,-1,NotFav,-10,3
485,2021.01.25,Orlando Magic,Home,41%,104,1.88,117,Charlotte Hornets,59%,108,1.98,108,225,Win,0.88,Favourite,13,0
486,2021.01.25,Dallas Mavericks,Home,44%,112,2.15,113,Denver Nuggets,56%,115,1.75,117,230,Lose,-1,NotFav,1,2
487,2021.01.25,Cleveland Cavaliers,Home,20%,99,6.61,108,Los Angeles Lakers,80%,110,1.13,115,223,Lose,-1,NotFav,9,5
488,2021.01.25,Brooklyn Nets,Home,62%,120,1.31,98,Miami Heat,38%,115,3.62,85,183,Win,0.31,Favourite,-22,-30
489,2021.01.25,Golden State Warriors,Home,68%,116,1.26,130,Minnesota Timberwolves,32%,109,4.11,108,238,Win,0.26,Favourite,14,-1
490,2021.01.25,Portland Trail Blazers,Home,63%,116,1.5,122,Oklahoma City Thunder,37%,111,2.7,125,247,Lose,-1,Favourite,6,14
491,2021.01.25,Detroit Pistons,Home,36%,108,2.73,119,Philadelphia 76ers,64%,114,1.49,104,223,Win,1.73,NotFav,11,-10
492,2021.01.25,Indiana Pacers,Home,51%,112,1.75,129,Toronto Raptors,49%,111,2.14,114,243,Win,0.75,Favourite,17,3
493,2021.01.26,Los Angeles Clippers,Away,65%,113,2.87,99,Atlanta Hawks,35%,107,1.45,108,207,Lose,-1,NotFav,-14,1
494,2021.01.26,New York Knicks,Away,26%,99,5.79,94,Utah Jazz,74%,107,1.16,108,202,Lose,-1,NotFav,-5,1
495,2021.01.26,Washington Wizards,Away,47%,116,2.36,88,Houston Rockets,53%,118,1.64,107,195,Lose,-1,NotFav,-28,-11
496,2021.01.26,Atlanta Hawks,Home,35%,107,1.45,108,Los Angeles Clippers,65%,113,2.87,99,207,Win,0.45,Favourite,1,-14
497,2021.01.26,Utah Jazz,Home,74%,107,1.16,108,New York Knicks,26%,99,5.79,94,202,Win,0.16,Favourite,1,-5
498,2021.01.26,Houston Rockets,Home,53%,118,1.64,107,Washington Wizards,47%,116,2.36,88,195,Win,0.64,Favourite,-11,-28
499,2021.01.27,Boston Celtics,Away,49%,111,1.55,106,San Antonio Spurs,51%,112,2.58,110,216,Lose,-1,Favourite,-5,-2
500,2021.01.27,Brooklyn Nets,Away,52%,118,1.44,132,Atlanta Hawks,48%,117,2.9,128,260,Win,0.44,Favourite,14,11
501,2021.01.27,Dallas Mavericks,Away,33%,106,2.1,104,Utah Jazz,67%,112,1.78,116,220,Lose,-1,NotFav,-2,4
502,2021.01.27,Denver Nuggets,Away,58%,115,1.42,109,Miami Heat,42%,111,3.02,82,191,Win,0.42,Favourite,-6,-29
503,2021.01.27,Detroit Pistons,Away,49%,107,2.1,107,Cleveland Cavaliers,51%,108,1.78,122,229,Lose,-1,NotFav,0,14
504,2021.01.27,Indiana Pacers,Away,53%,111,1.69,116,Charlotte Hornets,47%,109,2.26,106,222,Win,0.69,Favourite,5,-3
505,2021.01.27,Los Angeles Lakers,Away,62%,112,1.55,106,Philadelphia 76ers,38%,107,2.58,107,213,Lose,-1,Favourite,-6,0
506,2021.01.27,Milwaukee Bucks,Away,63%,116,1.39,115,Toronto Raptors,37%,111,3.16,108,223,Win,0.39,Favourite,-1,-3
507,2021.01.27,Minnesota Timberwolves,Away,32%,109,4.23,111,Golden State Warriors,68%,116,1.25,123,234,Lose,-1,NotFav,2,7
508,2021.01.27,Oklahoma City Thunder,Away,31%,104,3.77,102,Phoenix Suns,69%,111,1.29,97,199,Win,2.77,NotFav,-2,-14
509,2021.01.27,Sacramento Kings,Away,45%,112,2.02,121,Orlando Magic,55%,115,1.85,107,228,Win,1.02,NotFav,9,-8
510,2021.01.27,Washington Wizards,Away,51%,118,3.81,106,New Orleans Pelicans,49%,117,1.29,124,230,Lose,-1,NotFav,-12,7
511,2021.01.27,San Antonio Spurs,Home,51%,112,2.58,110,Boston Celtics,49%,111,1.55,106,216,Win,1.58,NotFav,-2,-5
512,2021.01.27,Atlanta Hawks,Home,48%,117,2.9,128,Brooklyn Nets,52%,118,1.44,132,260,Lose,-1,NotFav,11,14
513,2021.01.27,Utah Jazz,Home,67%,112,1.78,116,Dallas Mavericks,33%,106,2.1,104,220,Win,0.78,Favourite,4,-2
514,2021.01.27,Miami Heat,Home,42%,111,3.02,82,Denver Nuggets,58%,115,1.42,109,191,Lose,-1,NotFav,-29,-6
515,2021.01.27,Cleveland Cavaliers,Home,51%,108,1.78,122,Detroit Pistons,49%,107,2.1,107,229,Win,0.78,Favourite,14,0
516,2021.01.27,Charlotte Hornets,Home,47%,109,2.26,106,Indiana Pacers,53%,111,1.69,116,222,Lose,-1,NotFav,-3,5
517,2021.01.27,Philadelphia 76ers,Home,38%,107,2.58,107,Los Angeles Lakers,62%,112,1.55,106,213,Win,1.58,NotFav,0,-6
518,2021.01.27,Toronto Raptors,Home,37%,111,3.16,108,Milwaukee Bucks,63%,116,1.39,115,223,Lose,-1,NotFav,-3,-1
519,2021.01.27,Golden State Warriors,Home,68%,116,1.25,123,Minnesota Timberwolves,32%,109,4.23,111,234,Win,0.25,Favourite,7,2
520,2021.01.27,Phoenix Suns,Home,69%,111,1.29,97,Oklahoma City Thunder,31%,104,3.77,102,199,Lose,-1,Favourite,-14,-2
521,2021.01.27,Orlando Magic,Home,55%,115,1.85,107,Sacramento Kings,45%,112,2.02,121,228,Lose,-1,Favourite,-8,9
522,2021.01.27,New Orleans Pelicans,Home,49%,117,1.29,124,Washington Wizards,51%,118,3.81,106,230,Win,0.29,Favourite,7,-12
523,2021.01.28,Golden State Warriors,Away,39%,107,2.08,93,Phoenix Suns,61%,112,1.8,114,207,Lose,-1,NotFav,-14,2
524,2021.01.28,Los Angeles Clippers,Away,69%,113,2.14,109,Miami Heat,31%,106,1.76,105,214,Win,1.14,NotFav,-4,-1
525,2021.01.28,Los Angeles Lakers,Away,78%,114,1.32,92,Detroit Pistons,22%,104,3.6,107,199,Lose,-1,Favourite,-22,3
526,2021.01.28,Portland Trail Blazers,Away,49%,113,2.59,101,Houston Rockets,51%,114,1.54,104,205,Lose,-1,NotFav,-12,-10
527,2021.01.28,Phoenix Suns,Home,61%,112,1.8,114,Golden State Warriors,39%,107,2.08,93,207,Win,0.8,Favourite,2,-14
528,2021.01.28,Miami Heat,Home,31%,106,1.76,105,Los Angeles Clippers,69%,113,2.14,109,214,Lose,-1,Favourite,-1,-4
529,2021.01.28,Detroit Pistons,Home,22%,104,3.6,107,Los Angeles Lakers,78%,114,1.32,92,199,Win,2.6,NotFav,3,-22
530,2021.01.28,Houston Rockets,Home,51%,114,1.54,104,Portland Trail Blazers,49%,113,2.59,101,205,Win,0.54,Favourite,-10,-12
531,2021.01.29,Atlanta Hawks,Away,53%,118,1.63,116,Washington Wizards,47%,116,2.38,100,216,Win,0.63,Favourite,-2,-16
532,2021.01.29,Brooklyn Nets,Away,66%,120,1.37,147,Oklahoma City Thunder,34%,113,3.26,125,272,Win,0.37,Favourite,27,12
533,2021.01.29,Cleveland Cavaliers,Away,42%,98,2.04,81,New York Knicks,58%,101,1.83,102,183,Lose,-1,NotFav,-17,1
534,2021.01.29,Dallas Mavericks,Away,33%,106,2.46,101,Utah Jazz,67%,112,1.6,120,221,Lose,-1,NotFav,-5,8
535,2021.01.29,Denver Nuggets,Away,53%,116,1.57,109,San Antonio Spurs,47%,114,2.5,119,228,Lose,-1,Favourite,-7,5
536,2021.01.29,Indiana Pacers,Away,53%,111,1.61,105,Charlotte Hornets,47%,109,2.42,108,213,Lose,-1,Favourite,-6,-1
537,2021.01.29,Los Angeles Clippers,Away,80%,113,1.34,116,Orlando Magic,20%,102,3.46,90,206,Win,0.34,Favourite,3,-12
538,2021.01.29,Milwaukee Bucks,Away,72%,119,1.36,126,New Orleans Pelicans,28%,111,3.28,131,257,Lose,-1,Favourite,7,20
539,2021.01.29,Philadelphia 76ers,Away,74%,117,1.24,118,Minnesota Timberwolves,26%,108,4.35,94,212,Win,0.24,Favourite,1,-14
540,2021.01.29,Sacramento Kings,Away,29%,110,2.55,126,Toronto Raptors,71%,118,1.56,124,250,Win,1.55,NotFav,16,6
541,2021.01.29,Washington Wizards,Home,47%,116,2.38,100,Atlanta Hawks,53%,118,1.63,116,216,Lose,-1,NotFav,-16,-2
542,2021.01.29,Oklahoma City Thunder,Home,34%,113,3.26,125,Brooklyn Nets,66%,120,1.37,147,272,Lose,-1,NotFav,12,27
543,2021.01.29,New York Knicks,Home,58%,101,1.83,102,Cleveland Cavaliers,42%,98,2.04,81,183,Win,0.83,Favourite,1,-17
544,2021.01.29,Utah Jazz,Home,67%,112,1.6,120,Dallas Mavericks,33%,106,2.46,101,221,Win,0.6,Favourite,8,-5
545,2021.01.29,San Antonio Spurs,Home,47%,114,2.5,119,Denver Nuggets,53%,116,1.57,109,228,Win,1.5,NotFav,5,-7
546,2021.01.29,Charlotte Hornets,Home,47%,109,2.42,108,Indiana Pacers,53%,111,1.61,105,213,Win,1.42,NotFav,-1,-6
547,2021.01.29,Orlando Magic,Home,20%,102,3.46,90,Los Angeles Clippers,80%,113,1.34,116,206,Lose,-1,NotFav,-12,3
548,2021.01.29,New Orleans Pelicans,Home,28%,111,3.28,131,Milwaukee Bucks,72%,119,1.36,126,257,Win,2.28,NotFav,20,7
549,2021.01.29,Minnesota Timberwolves,Home,26%,108,4.35,94,Philadelphia 76ers,74%,117,1.24,118,212,Lose,-1,NotFav,-14,1
550,2021.01.29,Toronto Raptors,Home,71%,118,1.56,124,Sacramento Kings,29%,110,2.55,126,250,Lose,-1,Favourite,6,16
551,2021.01.30,Detroit Pistons,Away,43%,110,2.82,91,Golden State Warriors,57%,113,1.46,118,209,Lose,-1,NotFav,-19,5
552,2021.01.30,Houston Rockets,Away,52%,111,2.12,126,New Orleans Pelicans,48%,110,1.78,112,238,Win,1.12,NotFav,15,2
553,2021.01.30,Los Angeles Lakers,Away,67%,111,1.62,96,Boston Celtics,33%,105,2.41,95,191,Win,0.62,Favourite,-15,-10
554,2021.01.30,Memphis Grizzlies,Away,49%,108,2.39,129,San Antonio Spurs,51%,109,1.62,112,241,Win,1.39,NotFav,21,3
555,2021.01.30,Milwaukee Bucks,Away,70%,116,1.23,114,Charlotte Hornets,30%,108,4.42,126,240,Lose,-1,Favourite,-2,18
556,2021.01.30,Phoenix Suns,Away,51%,109,1.97,111,Dallas Mavericks,49%,108,1.88,105,216,Win,0.97,NotFav,2,-3
557,2021.01.30,Portland Trail Blazers,Away,50%,118,2.07,123,Chicago Bulls,50%,117,1.8,122,245,Win,1.07,NotFav,5,5
558,2021.01.30,Sacramento Kings,Away,32%,111,3.15,104,Miami Heat,68%,118,1.39,105,209,Lose,-1,NotFav,-7,-13
559,2021.01.30,Golden State Warriors,Home,57%,113,1.46,118,Detroit Pistons,43%,110,2.82,91,209,Win,0.46,Favourite,5,-19
560,2021.01.30,New Orleans Pelicans,Home,48%,110,1.78,112,Houston Rockets,52%,111,2.12,126,238,Lose,-1,Favourite,2,15
561,2021.01.30,Boston Celtics,Home,33%,105,2.41,95,Los Angeles Lakers,67%,111,1.62,96,191,Lose,-1,NotFav,-10,-15
562,2021.01.30,San Antonio Spurs,Home,51%,109,1.62,112,Memphis Grizzlies,49%,108,2.39,129,241,Lose,-1,Favourite,3,21
563,2021.01.30,Charlotte Hornets,Home,30%,108,4.42,126,Milwaukee Bucks,70%,116,1.23,114,240,Win,3.42,NotFav,18,-2
564,2021.01.30,Dallas Mavericks,Home,49%,108,1.88,105,Phoenix Suns,51%,109,1.97,111,216,Lose,-1,Favourite,-3,2
565,2021.01.30,Chicago Bulls,Home,50%,117,1.8,122,Portland Trail Blazers,50%,118,2.07,123,245,Lose,-1,Favourite,5,5
566,2021.01.30,Miami Heat,Home,68%,118,1.39,105,Sacramento Kings,32%,111,3.15,104,209,Win,0.39,Favourite,-13,-7
567,2021.01.31,Brooklyn Nets,Away,67%,125,1.39,146,Washington Wizards,33%,118,3.15,149,295,Lose,-1,Favourite,21,31
568,2021.01.31,Cleveland Cavaliers,Away,58%,112,1.63,104,Minnesota Timberwolves,42%,108,2.39,109,213,Lose,-1,Favourite,-8,1
569,2021.01.31,Los Angeles Clippers,Away,71%,106,1.22,129,New York Knicks,29%,99,4.57,115,244,Win,0.22,Favourite,23,16
570,2021.01.31,Orlando Magic,Away,26%,104,2.89,102,Toronto Raptors,74%,112,1.45,115,217,Lose,-1,NotFav,-2,3
571,2021.01.31,Philadelphia 76ers,Away,51%,113,2.26,119,Indiana Pacers,49%,112,1.69,110,229,Win,1.26,NotFav,6,-2
572,2021.01.31,Utah Jazz,Away,57%,114,1.66,117,Denver Nuggets,43%,111,2.3,128,245,Lose,-1,Favourite,3,17
573,2021.01.31,Washington Wizards,Home,33%,118,3.15,149,Brooklyn Nets,67%,125,1.39,146,295,Win,2.15,NotFav,31,21
574,2021.01.31,Minnesota Timberwolves,Home,42%,108,2.39,109,Cleveland Cavaliers,58%,112,1.63,104,213,Win,1.39,NotFav,1,-8
575,2021.01.31,New York Knicks,Home,29%,99,4.57,115,Los Angeles Clippers,71%,106,1.22,129,244,Lose,-1,NotFav,16,23
576,2021.01.31,Toronto Raptors,Home,74%,112,1.45,115,Orlando Magic,26%,104,2.89,102,217,Win,0.45,Favourite,3,-2
577,2021.01.31,Indiana Pacers,Home,49%,112,1.69,110,Philadelphia 76ers,51%,113,2.26,119,229,Lose,-1,Favourite,-2,6
578,2021.01.31,Denver Nuggets,Home,43%,111,2.3,128,Utah Jazz,57%,114,1.66,117,245,Win,1.3,NotFav,17,3
579,2021.02.01,Charlotte Hornets,Away,44%,104,3.58,129,Miami Heat,56%,107,1.32,121,250,Win,2.58,NotFav,25,14
580,2021.02.01,Houston Rockets,Away,58%,111,1.5,136,Oklahoma City Thunder,42%,107,2.72,106,242,Win,0.5,Favourite,25,-1
581,2021.02.01,Los Angeles Lakers,Away,63%,111,1.35,107,Atlanta Hawks,37%,106,3.35,99,206,Win,0.35,Favourite,-4,-7
582,2021.02.01,Memphis Grizzlies,Away,46%,109,2.48,133,San Antonio Spurs,54%,111,1.58,102,235,Win,1.48,NotFav,24,-9
583,2021.02.01,Minnesota Timberwolves,Away,33%,106,2.37,98,Cleveland Cavaliers,67%,112,1.63,100,198,Lose,-1,NotFav,-8,-12
584,2021.02.01,New York Knicks,Away,49%,107,2.41,102,Chicago Bulls,51%,108,1.61,110,212,Lose,-1,NotFav,-5,2
585,2021.02.01,Phoenix Suns,Away,58%,111,2.13,109,Dallas Mavericks,42%,107,1.76,108,217,Win,1.13,NotFav,-2,1
586,2021.02.01,Portland Trail Blazers,Away,31%,116,4.96,106,Milwaukee Bucks,69%,123,1.2,134,240,Lose,-1,NotFav,-10,11
587,2021.02.01,Sacramento Kings,Away,39%,115,2.19,118,New Orleans Pelicans,61%,120,1.72,109,227,Win,1.19,NotFav,3,-11
588,2021.02.01,Miami Heat,Home,56%,107,1.32,121,Charlotte Hornets,44%,104,3.58,129,250,Lose,-1,Favourite,14,25
589,2021.02.01,Oklahoma City Thunder,Home,42%,107,2.72,106,Houston Rockets,58%,111,1.5,136,242,Lose,-1,NotFav,-1,25
590,2021.02.01,Atlanta Hawks,Home,37%,106,3.35,99,Los Angeles Lakers,63%,111,1.35,107,206,Lose,-1,NotFav,-7,-4
591,2021.02.01,San Antonio Spurs,Home,54%,111,1.58,102,Memphis Grizzlies,46%,109,2.48,133,235,Lose,-1,Favourite,-9,24
592,2021.02.01,Cleveland Cavaliers,Home,67%,112,1.63,100,Minnesota Timberwolves,33%,106,2.37,98,198,Win,0.63,Favourite,-12,-8
593,2021.02.01,Chicago Bulls,Home,51%,108,1.61,110,New York Knicks,49%,107,2.41,102,212,Win,0.61,Favourite,2,-5
594,2021.02.01,Dallas Mavericks,Home,42%,107,1.76,108,Phoenix Suns,58%,111,2.13,109,217,Lose,-1,Favourite,1,-2
595,2021.02.01,Milwaukee Bucks,Home,69%,123,1.2,134,Portland Trail Blazers,31%,116,4.96,106,240,Win,0.2,Favourite,11,-10
596,2021.02.01,New Orleans Pelicans,Home,61%,120,1.72,109,Sacramento Kings,39%,115,2.19,118,227,Lose,-1,Favourite,-11,3
597,2021.02.02,Boston Celtics,Away,55%,112,1.71,111,Golden State Warriors,45%,109,2.21,107,218,Win,0.71,Favourite,-1,-2
598,2021.02.02,Detroit Pistons,Away,21%,104,6.83,105,Utah Jazz,79%,114,1.12,117,222,Lose,-1,NotFav,1,3
599,2021.02.02,Los Angeles Clippers,Away,56%,118,1.82,120,Brooklyn Nets,44%,115,2.06,124,244,Lose,-1,Favourite,2,9
600,2021.02.02,Memphis Grizzlies,Away,49%,110,2.59,116,Indiana Pacers,51%,111,1.54,134,250,Lose,-1,NotFav,6,23
601,2021.02.02,Portland Trail Blazers,Away,0%,0,2.28,132,Washington Wizards,0%,0,1.67,121,253,Win,1.28,NotFav,132,121
602,2021.02.02,Toronto Raptors,Away,67%,111,1.4,123,Orlando Magic,33%,105,3.11,108,231,Win,0.4,Favourite,12,3
603,2021.02.02,Golden State Warriors,Home,45%,109,2.21,107,Boston Celtics,55%,112,1.71,111,218,Lose,-1,NotFav,-2,-1
604,2021.02.02,Utah Jazz,Home,79%,114,1.12,117,Detroit Pistons,21%,104,6.83,105,222,Win,0.12,Favourite,3,1
605,2021.02.02,Brooklyn Nets,Home,44%,115,2.06,124,Los Angeles Clippers,56%,118,1.82,120,244,Win,1.06,NotFav,9,2
606,2021.02.02,Indiana Pacers,Home,51%,111,1.54,134,Memphis Grizzlies,49%,110,2.59,116,250,Win,0.54,Favourite,23,6
607,2021.02.02,Washington Wizards,Home,0%,0,1.67,121,Portland Trail Blazers,0%,0,2.28,132,253,Lose,-1,Favourite,121,132
608,2021.02.02,Orlando Magic,Home,33%,105,3.11,108,Toronto Raptors,67%,111,1.4,123,231,Lose,-1,NotFav,3,12
609,2021.02.03,Boston Celtics,Away,67%,119,1.97,111,Sacramento Kings,33%,112,1.88,116,227,Lose,-1,NotFav,-8,4
610,2021.02.03,Dallas Mavericks,Away,38%,108,1.79,122,Atlanta Hawks,62%,113,2.1,116,238,Win,0.79,Favourite,14,3
611,2021.02.03,Houston Rockets,Away,58%,111,1.38,87,Oklahoma City Thunder,42%,107,3.22,104,191,Lose,-1,Favourite,-24,-3
612,2021.02.03,Indiana Pacers,Away,34%,114,4.26,110,Milwaukee Bucks,66%,120,1.24,130,240,Lose,-1,NotFav,-4,10
613,2021.02.03,Los Angeles Clippers,Away,76%,111,1.24,121,Cleveland Cavaliers,24%,102,4.27,99,220,Win,0.24,Favourite,10,-3
614,2021.02.03,Minnesota Timberwolves,Away,20%,107,3.56,108,San Antonio Spurs,80%,118,1.32,111,219,Lose,-1,NotFav,1,-7
615,2021.02.03,New York Knicks,Away,49%,107,2.02,107,Chicago Bulls,51%,108,1.84,103,210,Win,1.02,NotFav,0,-5
616,2021.02.03,Philadelphia 76ers,Away,59%,112,1.34,118,Charlotte Hornets,41%,108,3.43,111,229,Win,0.34,Favourite,6,3
617,2021.02.03,Phoenix Suns,Away,59%,112,1.7,101,New Orleans Pelicans,41%,108,2.25,123,224,Lose,-1,Favourite,-11,15
618,2021.02.03,Washington Wizards,Away,36%,109,4.32,103,Miami Heat,64%,114,1.24,100,203,Win,3.32,NotFav,-6,-14
619,2021.02.03,Sacramento Kings,Home,33%,112,1.88,116,Boston Celtics,67%,119,1.97,111,227,Win,0.88,Favourite,4,-8
620,2021.02.03,Atlanta Hawks,Home,62%,113,2.1,116,Dallas Mavericks,38%,108,1.79,122,238,Lose,-1,NotFav,3,14
621,2021.02.03,Oklahoma City Thunder,Home,42%,107,3.22,104,Houston Rockets,58%,111,1.38,87,191,Win,2.22,NotFav,-3,-24
622,2021.02.03,Milwaukee Bucks,Home,66%,120,1.24,130,Indiana Pacers,34%,114,4.26,110,240,Win,0.24,Favourite,10,-4
623,2021.02.03,Cleveland Cavaliers,Home,24%,102,4.27,99,Los Angeles Clippers,76%,111,1.24,121,220,Lose,-1,NotFav,-3,10
624,2021.02.03,San Antonio Spurs,Home,80%,118,1.32,111,Minnesota Timberwolves,20%,107,3.56,108,219,Win,0.32,Favourite,-7,1
625,2021.02.03,Chicago Bulls,Home,51%,108,1.84,103,New York Knicks,49%,107,2.02,107,210,Lose,-1,Favourite,-5,0
626,2021.02.03,Charlotte Hornets,Home,41%,108,3.43,111,Philadelphia 76ers,59%,112,1.34,118,229,Lose,-1,NotFav,3,6
627,2021.02.03,New Orleans Pelicans,Home,41%,108,2.25,123,Phoenix Suns,59%,112,1.7,101,224,Win,1.25,NotFav,15,-11
628,2021.02.03,Miami Heat,Home,64%,114,1.24,100,Washington Wizards,36%,109,4.32,103,203,Lose,-1,Favourite,-14,-6
629,2021.02.04,Denver Nuggets,Away,35%,107,2.66,93,Los Angeles Lakers,65%,113,1.52,114,207,Lose,-1,NotFav,-14,1
630,2021.02.04,Golden State Warriors,Away,49%,111,2.52,147,Dallas Mavericks,51%,112,1.57,116,263,Win,1.52,NotFav,36,4
631,2021.02.04,Houston Rockets,Away,40%,104,2.42,115,Memphis Grizzlies,60%,108,1.61,103,218,Win,1.42,NotFav,11,-5
632,2021.02.04,Portland Trail Blazers,Away,37%,113,4.93,121,Philadelphia 76ers,63%,118,1.2,105,226,Win,3.93,NotFav,8,-13
633,2021.02.04,Utah Jazz,Away,62%,112,1.2,112,Atlanta Hawks,38%,107,4.88,91,203,Win,0.2,Favourite,0,-16
634,2021.02.04,Los Angeles Lakers,Home,65%,113,1.52,114,Denver Nuggets,35%,107,2.66,93,207,Win,0.52,Favourite,1,-14
635,2021.02.04,Dallas Mavericks,Home,51%,112,1.57,116,Golden State Warriors,49%,111,2.52,147,263,Lose,-1,Favourite,4,36
636,2021.02.04,Memphis Grizzlies,Home,60%,108,1.61,103,Houston Rockets,40%,104,2.42,115,218,Lose,-1,Favourite,-5,11
637,2021.02.04,Philadelphia 76ers,Home,63%,118,1.2,105,Portland Trail Blazers,37%,113,4.93,121,226,Lose,-1,Favourite,-13,8
638,2021.02.04,Atlanta Hawks,Home,38%,107,4.88,91,Utah Jazz,62%,112,1.2,112,203,Lose,-1,NotFav,-16,0
639,2021.02.05,Boston Celtics,Away,35%,106,2.85,119,Los Angeles Clippers,65%,111,1.46,115,234,Win,1.85,NotFav,13,4
640,2021.02.05,Chicago Bulls,Away,59%,115,1.75,119,Orlando Magic,41%,111,2.15,123,242,Lose,-1,Favourite,4,12
641,2021.02.05,Detroit Pistons,Away,31%,105,3.85,92,Phoenix Suns,69%,112,1.29,109,201,Lose,-1,NotFav,-13,-3
642,2021.02.05,Milwaukee Bucks,Away,72%,117,1.17,123,Cleveland Cavaliers,28%,109,5.53,105,228,Win,0.17,Favourite,6,-4
643,2021.02.05,Minnesota Timberwolves,Away,34%,108,1.74,106,Oklahoma City Thunder,66%,114,2.17,103,209,Win,0.74,Favourite,-2,-11
644,2021.02.05,New Orleans Pelicans,Away,38%,111,2.05,114,Indiana Pacers,62%,116,1.82,113,227,Win,1.05,NotFav,3,-3
645,2021.02.05,Toronto Raptors,Away,38%,115,2.89,123,Brooklyn Nets,62%,120,1.45,117,240,Win,1.89,NotFav,8,-3
646,2021.02.05,Utah Jazz,Away,71%,112,1.29,138,Charlotte Hornets,29%,104,3.82,121,259,Win,0.29,Favourite,26,17
647,2021.02.05,Washington Wizards,Away,36%,109,3.27,95,Miami Heat,64%,114,1.37,122,217,Lose,-1,NotFav,-14,8
